downloaded,language,form,dataset_name,child_id,age,comprehension,production,caregiver_education,sex,monolingual
2022-11-11,Cantonese,WS,Nazzi,80611,20,105,105,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59049,19,68,68,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59053,20,63,63,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59056,20,118,118,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59065,20,158,158,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59067,27,128,128,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59071,28,388,388,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59077,18,18,18,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59079,18,87,87,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59080,23,24,24,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59082,23,14,14,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59084,23,321,321,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59089,22,180,180,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59092,22,288,288,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59098,22,253,253,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59099,29,379,379,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59112,24,269,269,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59115,30,457,457,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59117,30,221,221,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59126,24,81,81,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59129,30,489,489,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59131,25,90,90,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59133,25,198,198,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59142,25,260,260,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59156,27,72,72,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59158,27,101,101,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59159,18,29,29,Some Secondary,Male,TRUE
2022-11-11,Czech,WS,Smolik,59160,27,126,126,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59171,16,11,11,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59173,16,10,10,Some Secondary,Female,TRUE
2022-11-11,Czech,WS,Smolik,59187,24,297,297,Some Secondary,Male,TRUE
